,workerid,id,response,sentence_a,sentence_b,shift_a,shift_b,slide_number_in_experiment
422,114,455,5.0,John set up the new efficient system.,John set the new efficient system up.,1.0,0.0,20
423,114,61,4.0,Melissa brought to the meeting cold alcoholic drinks in her bag.,Melissa brought cold alcoholic drinks in her bag to the meeting.,1.0,0.0,21
424,114,274,6.0,Janet argued about the disorganized project with her assigned team for stock predictions in the finance branch in the company.,Janet argued with her assigned team for stock predictions in the finance branch in the company about the disorganized project.,1.0,0.0,22
425,114,176,5.0,John showed his expensive handmade tailored silk outfit from the designer for the gala for the evening to the large crowded group with bags with maps.,John showed the large crowded group with bags with maps his expensive handmade tailored silk outfit from the designer for the gala for the evening.,1.0,0.0,23
427,114,94,4.0,Melissa prepared for the party a multilevel blue cake with her name with pink bows.,Melissa prepared a multilevel blue cake with her name with pink bows for the party.,0.0,1.0,25
428,114,310,6.0,Janet drove with a rented van with space for her supplies to economics class of the finance building in the downtown campus.,Janet drove to economics class of the finance building in the downtown campus with a rented van with space for her supplies.,0.0,1.0,26
429,114,157,5.0,John wrote a serious long letter with bank information to his large religious family from the farms in Kansas.,John wrote his large religious family from the farms in Kansas a serious long letter with bank information.,0.0,1.0,27
430,114,382,5.0,John threw away the stinky dinner leftovers on the shelf in the fridge.,John threw the stinky dinner leftovers on the shelf in the fridge away.,0.0,1.0,28
434,92,157,7.0,John wrote a serious long letter with bank information to his large religious family from the farms in Kansas.,John wrote his large religious family from the farms in Kansas a serious long letter with bank information.,0.0,1.0,5
435,92,437,7.0,John beats up my old best friend from high school in New York.,John beats my old best friend from high school in New York up.,0.0,1.0,6
436,92,274,7.0,Janet argued about the disorganized project with her assigned team for stock predictions in the finance branch in the company.,Janet argued with her assigned team for stock predictions in the finance branch in the company about the disorganized project.,0.0,1.0,7
437,92,455,7.0,John set up the new efficient system.,John set the new efficient system up.,0.0,1.0,8
439,92,391,7.0,John put out a long professional statement from his client for the press.,John put a long professional statement from his client for the press out.,1.0,0.0,10
440,92,61,1.0,Melissa brought to the meeting cold alcoholic drinks in her bag.,Melissa brought cold alcoholic drinks in her bag to the meeting.,1.0,0.0,11
441,92,232,7.0,John mailed a new car to his good friend from Michigan.,John mailed his good friend from Michigan a new car.,1.0,0.0,12
442,92,346,1.0,Janet argued about the project for the analysis with her new assigned economics team for stock predictions.,Janet argued with her new assigned economics team for stock predictions about the project for the analysis.,1.0,0.0,13
444,92,388,7.0,John put out a formal professional statement for the press.,John put a formal professional statement for the press out.,0.0,1.0,15
445,92,404,7.0,John looks up his complicated algebra question from the morning.,John looks his complicated algebra question from the morning up.,0.0,1.0,16
446,92,94,6.0,Melissa prepared for the party a multilevel blue cake with her name with pink bows.,Melissa prepared a multilevel blue cake with her name with pink bows for the party.,0.0,1.0,17
447,92,69,3.0,Melissa baked over the weekend a wrapped present with red ribbon in a white box.,Melissa baked a wrapped present with red ribbon in a white box over the weekend.,0.0,1.0,18
449,92,86,2.0,Melissa made in her kitchen a vanilla cake in green frosting with pink bows.,Melissa made a vanilla cake in green frosting with pink bows in her kitchen.,1.0,0.0,20
450,92,382,7.0,John threw away the stinky dinner leftovers on the shelf in the fridge.,John threw the stinky dinner leftovers on the shelf in the fridge away.,1.0,0.0,21
451,92,176,5.0,John showed his expensive handmade tailored silk outfit from the designer for the gala for the evening to the large crowded group with bags with maps.,John showed the large crowded group with bags with maps his expensive handmade tailored silk outfit from the designer for the gala for the evening.,1.0,0.0,22
452,92,499,6.0,John threw away his rough idea for the next quarter for the company.,John threw his rough idea for the next quarter for the company away.,1.0,0.0,23
454,92,463,7.0,John turned down the job offer at Google.,John turned the job offer at Google down.,0.0,1.0,25
455,92,119,1.0,Melissa met in the store the short quiet girl.,Melissa met the short quiet girl in the store.,0.0,1.0,26
456,92,310,7.0,Janet drove with a rented van with space for her supplies to economics class of the finance building in the downtown campus.,Janet drove to economics class of the finance building in the downtown campus with a rented van with space for her supplies.,0.0,1.0,27
457,92,57,3.0,Melissa saw at the park the tall rugged mysterious man with the axe from the forest.,Melissa saw the tall rugged mysterious man with the axe from the forest at the park.,0.0,1.0,28
461,41,62,2.0,Melissa prepared over the weekend a blue vanilla cake with her name.,Melissa prepared a blue vanilla cake with her name over the weekend.,0.0,1.0,5
462,41,321,5.0,Janet drove in her electric car with her favorite songs for her trip to the warm surfing beach by her mother's home.,Janet drove to the warm surfing beach by her mother's home in her electric car with her favorite songs for her trip.,0.0,1.0,6
463,41,59,2.0,Melissa baked for the party a blue vanilla cake in green frosting.,Melissa baked a blue vanilla cake in green frosting for the party.,0.0,1.0,7
464,41,301,6.0,Janet negotiatied about a generous annual raise with her economics team in the finance branch in the company.,Janet negotiatied with her economics team in the finance branch in the company about a generous annual raise.,0.0,1.0,8
466,41,252,5.0,Janet walked to our math class with her brother.,Janet walked with her brother to our math class.,1.0,0.0,10
467,41,374,5.0,Janet discussed about the disorganized failing project for the analysis for the paper during the internal complaints meeting about company funding for organized projects.,Janet discussed during the internal complaints meeting about company funding for organized projects about the disorganized failing project for the analysis for the paper.,1.0,0.0,11
468,41,363,6.0,Janet talked about the catastrophic failing project for the analysis during the academia charity conference in Nepal in economics.,Janet talked during the academia charity conference in Nepal in economics about the catastrophic failing project for the analysis.,1.0,0.0,12
469,41,64,1.0,Melissa brought when she arrived sweet alcoholic drinks from the bodega.,Melissa brought sweet alcoholic drinks from the bodega when she arrived.,1.0,0.0,13
471,41,432,6.0,John kept up the improvised joke for the play.,John kept the improvised joke for the play up.,0.0,1.0,15
472,41,178,6.0,John drafted a serious long letter with bank information for the house for his large extended family from the farms in the plains in Kansas.,John drafted his large extended family from the farms in the plains in Kansas a serious long letter with bank information for the house.,0.0,1.0,16
473,41,130,6.0,John mailed a written letter with bank information to his extended family from the farms in Kansas.,John mailed his extended family from the farms in Kansas a written letter with bank information.,0.0,1.0,17
474,41,396,7.0,John worked out the secret plan to win the trophy for the next season.,John worked the secret plan to win the trophy for the next season out.,0.0,1.0,18
476,41,129,2.0,John shipped beautiful flowers with trimmed stems from the nursery in town to his trusted longtime friend with the medical degree.,John shipped his trusted longtime friend with the medical degree beautiful flowers with trimmed stems from the nursery in town.,1.0,0.0,20
477,41,410,7.0,John worked out the revised monthly schedule for his employees in the team for the summer.,John worked the revised monthly schedule for his employees in the team for the summer out.,1.0,0.0,21
478,41,181,3.0,John rents small cheap studio apartments with balconies on the main street to wealthy students at the campus.,John rents wealthy students at the campus small cheap studio apartments with balconies on the main street.,1.0,0.0,22
479,41,378,5.0,John called off his wedding in the churchouse in the afternoon.,John called his wedding in the churchouse in the afternoon off.,1.0,0.0,23
481,41,7,3.0,Melissa presented for the competition a gold winning trophy with her name for her performance.,Melissa presented a gold winning trophy with her name for her performance for the competition.,0.0,1.0,25
482,41,8,3.0,Melissa awarded for the competition a shiny gold winning trophy with her name for her performance.,Melissa awarded a shiny gold winning trophy with her name for her performance for the competition.,0.0,1.0,26
483,41,13,4.0,Melissa awarded at the ceremony a check from the organization.,Melissa awarded a check from the organization at the ceremony.,0.0,1.0,27
484,41,219,2.0,John rents studio apartments with balconies in downtown to wealthy students.,John rents wealthy students studio apartments with balconies in downtown.,0.0,1.0,28
488,66,396,7.0,John worked out the secret plan to win the trophy for the next season.,John worked the secret plan to win the trophy for the next season out.,0.0,1.0,5
489,66,363,7.0,Janet talked about the catastrophic failing project for the analysis during the academia charity conference in Nepal in economics.,Janet talked during the academia charity conference in Nepal in economics about the catastrophic failing project for the analysis.,0.0,1.0,6
490,66,410,7.0,John worked out the revised monthly schedule for his employees in the team for the summer.,John worked the revised monthly schedule for his employees in the team for the summer out.,0.0,1.0,7
491,66,129,7.0,John shipped beautiful flowers with trimmed stems from the nursery in town to his trusted longtime friend with the medical degree.,John shipped his trusted longtime friend with the medical degree beautiful flowers with trimmed stems from the nursery in town.,0.0,1.0,8
493,66,13,1.0,Melissa awarded at the ceremony a check from the organization.,Melissa awarded a check from the organization at the ceremony.,1.0,0.0,10
494,66,64,1.0,Melissa brought when she arrived sweet alcoholic drinks from the bodega.,Melissa brought sweet alcoholic drinks from the bodega when she arrived.,1.0,0.0,11
495,66,252,1.0,Janet walked to our math class with her brother.,Janet walked with her brother to our math class.,1.0,0.0,12
496,66,219,7.0,John rents studio apartments with balconies in downtown to wealthy students.,John rents wealthy students studio apartments with balconies in downtown.,1.0,0.0,13
498,66,181,7.0,John rents small cheap studio apartments with balconies on the main street to wealthy students at the campus.,John rents wealthy students at the campus small cheap studio apartments with balconies on the main street.,0.0,1.0,15
499,66,301,7.0,Janet negotiatied about a generous annual raise with her economics team in the finance branch in the company.,Janet negotiatied with her economics team in the finance branch in the company about a generous annual raise.,0.0,1.0,16
500,66,178,7.0,John drafted a serious long letter with bank information for the house for his large extended family from the farms in the plains in Kansas.,John drafted his large extended family from the farms in the plains in Kansas a serious long letter with bank information for the house.,0.0,1.0,17
501,66,378,7.0,John called off his wedding in the churchouse in the afternoon.,John called his wedding in the churchouse in the afternoon off.,0.0,1.0,18
503,66,432,7.0,John kept up the improvised joke for the play.,John kept the improvised joke for the play up.,1.0,0.0,20
504,66,130,6.0,John mailed a written letter with bank information to his extended family from the farms in Kansas.,John mailed his extended family from the farms in Kansas a written letter with bank information.,1.0,0.0,21
505,66,8,1.0,Melissa awarded for the competition a shiny gold winning trophy with her name for her performance.,Melissa awarded a shiny gold winning trophy with her name for her performance for the competition.,1.0,0.0,22
506,66,62,2.0,Melissa prepared over the weekend a blue vanilla cake with her name.,Melissa prepared a blue vanilla cake with her name over the weekend.,1.0,0.0,23
508,66,374,7.0,Janet discussed about the disorganized failing project for the analysis for the paper during the internal complaints meeting about company funding for organized projects.,Janet discussed during the internal complaints meeting about company funding for organized projects about the disorganized failing project for the analysis for the paper.,0.0,1.0,25
509,66,59,6.0,Melissa baked for the party a blue vanilla cake in green frosting.,Melissa baked a blue vanilla cake in green frosting for the party.,0.0,1.0,26
510,66,7,4.0,Melissa presented for the competition a gold winning trophy with her name for her performance.,Melissa presented a gold winning trophy with her name for her performance for the competition.,0.0,1.0,27
511,66,321,7.0,Janet drove in her electric car with her favorite songs for her trip to the warm surfing beach by her mother's home.,Janet drove to the warm surfing beach by her mother's home in her electric car with her favorite songs for her trip.,0.0,1.0,28
515,112,178,6.0,John drafted a serious long letter with bank information for the house for his large extended family from the farms in the plains in Kansas.,John drafted his large extended family from the farms in the plains in Kansas a serious long letter with bank information for the house.,0.0,1.0,5
516,112,396,6.0,John worked out the secret plan to win the trophy for the next season.,John worked the secret plan to win the trophy for the next season out.,0.0,1.0,6
517,112,301,6.0,Janet negotiatied about a generous annual raise with her economics team in the finance branch in the company.,Janet negotiatied with her economics team in the finance branch in the company about a generous annual raise.,0.0,1.0,7
518,112,64,1.0,Melissa brought when she arrived sweet alcoholic drinks from the bodega.,Melissa brought sweet alcoholic drinks from the bodega when she arrived.,0.0,1.0,8
520,112,363,2.0,Janet talked about the catastrophic failing project for the analysis during the academia charity conference in Nepal in economics.,Janet talked during the academia charity conference in Nepal in economics about the catastrophic failing project for the analysis.,1.0,0.0,10
521,112,7,3.0,Melissa presented for the competition a gold winning trophy with her name for her performance.,Melissa presented a gold winning trophy with her name for her performance for the competition.,1.0,0.0,11
522,112,59,1.0,Melissa baked for the party a blue vanilla cake in green frosting.,Melissa baked a blue vanilla cake in green frosting for the party.,1.0,0.0,12
523,112,129,2.0,John shipped beautiful flowers with trimmed stems from the nursery in town to his trusted longtime friend with the medical degree.,John shipped his trusted longtime friend with the medical degree beautiful flowers with trimmed stems from the nursery in town.,1.0,0.0,13
525,112,378,4.0,John called off his wedding in the churchouse in the afternoon.,John called his wedding in the churchouse in the afternoon off.,0.0,1.0,15
526,112,252,6.0,Janet walked to our math class with her brother.,Janet walked with her brother to our math class.,0.0,1.0,16
527,112,8,3.0,Melissa awarded for the competition a shiny gold winning trophy with her name for her performance.,Melissa awarded a shiny gold winning trophy with her name for her performance for the competition.,0.0,1.0,17
528,112,62,4.0,Melissa prepared over the weekend a blue vanilla cake with her name.,Melissa prepared a blue vanilla cake with her name over the weekend.,0.0,1.0,18
530,112,374,2.0,Janet discussed about the disorganized failing project for the analysis for the paper during the internal complaints meeting about company funding for organized projects.,Janet discussed during the internal complaints meeting about company funding for organized projects about the disorganized failing project for the analysis for the paper.,1.0,0.0,20
531,112,181,3.0,John rents small cheap studio apartments with balconies on the main street to wealthy students at the campus.,John rents wealthy students at the campus small cheap studio apartments with balconies on the main street.,1.0,0.0,21
532,112,410,6.0,John worked out the revised monthly schedule for his employees in the team for the summer.,John worked the revised monthly schedule for his employees in the team for the summer out.,1.0,0.0,22
533,112,13,2.0,Melissa awarded at the ceremony a check from the organization.,Melissa awarded a check from the organization at the ceremony.,1.0,0.0,23
535,112,130,2.0,John mailed a written letter with bank information to his extended family from the farms in Kansas.,John mailed his extended family from the farms in Kansas a written letter with bank information.,0.0,1.0,25
536,112,219,2.0,John rents studio apartments with balconies in downtown to wealthy students.,John rents wealthy students studio apartments with balconies in downtown.,0.0,1.0,26
537,112,321,6.0,Janet drove in her electric car with her favorite songs for her trip to the warm surfing beach by her mother's home.,Janet drove to the warm surfing beach by her mother's home in her electric car with her favorite songs for her trip.,0.0,1.0,27
538,112,432,6.0,John kept up the improvised joke for the play.,John kept the improvised joke for the play up.,0.0,1.0,28
542,141,130,7.0,John mailed a written letter with bank information to his extended family from the farms in Kansas.,John mailed his extended family from the farms in Kansas a written letter with bank information.,0.0,1.0,5
543,141,410,6.0,John worked out the revised monthly schedule for his employees in the team for the summer.,John worked the revised monthly schedule for his employees in the team for the summer out.,0.0,1.0,6
544,141,219,7.0,John rents studio apartments with balconies in downtown to wealthy students.,John rents wealthy students studio apartments with balconies in downtown.,0.0,1.0,7
545,141,396,7.0,John worked out the secret plan to win the trophy for the next season.,John worked the secret plan to win the trophy for the next season out.,0.0,1.0,8
547,141,62,1.0,Melissa prepared over the weekend a blue vanilla cake with her name.,Melissa prepared a blue vanilla cake with her name over the weekend.,1.0,0.0,10
548,141,7,1.0,Melissa presented for the competition a gold winning trophy with her name for her performance.,Melissa presented a gold winning trophy with her name for her performance for the competition.,1.0,0.0,11
549,141,363,1.0,Janet talked about the catastrophic failing project for the analysis during the academia charity conference in Nepal in economics.,Janet talked during the academia charity conference in Nepal in economics about the catastrophic failing project for the analysis.,1.0,0.0,12
550,141,321,1.0,Janet drove in her electric car with her favorite songs for her trip to the warm surfing beach by her mother's home.,Janet drove to the warm surfing beach by her mother's home in her electric car with her favorite songs for her trip.,1.0,0.0,13
552,141,374,1.0,Janet discussed about the disorganized failing project for the analysis for the paper during the internal complaints meeting about company funding for organized projects.,Janet discussed during the internal complaints meeting about company funding for organized projects about the disorganized failing project for the analysis for the paper.,0.0,1.0,15
553,141,178,7.0,John drafted a serious long letter with bank information for the house for his large extended family from the farms in the plains in Kansas.,John drafted his large extended family from the farms in the plains in Kansas a serious long letter with bank information for the house.,0.0,1.0,16
554,141,181,7.0,John rents small cheap studio apartments with balconies on the main street to wealthy students at the campus.,John rents wealthy students at the campus small cheap studio apartments with balconies on the main street.,0.0,1.0,17
555,141,378,1.0,John called off his wedding in the churchouse in the afternoon.,John called his wedding in the churchouse in the afternoon off.,0.0,1.0,18
557,141,252,7.0,Janet walked to our math class with her brother.,Janet walked with her brother to our math class.,1.0,0.0,20
558,141,432,7.0,John kept up the improvised joke for the play.,John kept the improvised joke for the play up.,1.0,0.0,21
559,141,13,1.0,Melissa awarded at the ceremony a check from the organization.,Melissa awarded a check from the organization at the ceremony.,1.0,0.0,22
560,141,129,7.0,John shipped beautiful flowers with trimmed stems from the nursery in town to his trusted longtime friend with the medical degree.,John shipped his trusted longtime friend with the medical degree beautiful flowers with trimmed stems from the nursery in town.,1.0,0.0,23
562,141,301,7.0,Janet negotiatied about a generous annual raise with her economics team in the finance branch in the company.,Janet negotiatied with her economics team in the finance branch in the company about a generous annual raise.,0.0,1.0,25
563,141,64,1.0,Melissa brought when she arrived sweet alcoholic drinks from the bodega.,Melissa brought sweet alcoholic drinks from the bodega when she arrived.,0.0,1.0,26
564,141,8,1.0,Melissa awarded for the competition a shiny gold winning trophy with her name for her performance.,Melissa awarded a shiny gold winning trophy with her name for her performance for the competition.,0.0,1.0,27
565,141,59,1.0,Melissa baked for the party a blue vanilla cake in green frosting.,Melissa baked a blue vanilla cake in green frosting for the party.,0.0,1.0,28
569,109,9,2.0,Melissa made in her kitchen a wrapped present with red ribbon in a white box.,Melissa made a wrapped present with red ribbon in a white box in her kitchen.,0.0,1.0,5
570,109,402,7.0,John worked out the ambitious plan.,John worked the ambitious plan out.,0.0,1.0,6
571,109,313,6.0,Janet drove with a large rented van with space to the warm surfing beach on the coast.,Janet drove to the warm surfing beach on the coast with a large rented van with space.,0.0,1.0,7
572,109,92,1.0,Melissa took at the college fascinating courses on astronomy.,Melissa took fascinating courses on astronomy at the college.,0.0,1.0,8
574,109,441,7.0,John worked out the foolproof plan for the next season.,John worked the foolproof plan for the next season out.,1.0,0.0,10
575,109,182,7.0,John cooked a grand celebratory feast of pie with chicken for his sick disabled mother in Miami with Alzheimers.,John cooked his sick disabled mother in Miami with Alzheimers a grand celebratory feast of pie with chicken.,1.0,0.0,11
576,109,292,7.0,Janet talked about her boss to tall skinny Michael.,Janet talked to tall skinny Michael about her boss.,1.0,0.0,12
577,109,2,1.0,Melissa prepared in her kitchen vegan blueberry muffins with white frosting with egg substitute.,Melissa prepared vegan blueberry muffins with white frosting with egg substitute in her kitchen.,1.0,0.0,13
579,109,156,6.0,John mailed a short notice message about his travel in Europe for his work to his large family from the farms in the plains in Kansas.,John mailed his large family from the farms in the plains in Kansas a short notice message about his travel in Europe for his work.,0.0,1.0,15
580,109,108,1.0,Melissa baked in her kitchen a multilevel blue sponge cake with her name in green frosting.,Melissa baked a multilevel blue sponge cake with her name in green frosting in her kitchen.,0.0,1.0,16
581,109,290,6.0,Janet went with a cheap van with space to the annual auction event of the metropolis.,Janet went to the annual auction event of the metropolis with a cheap van with space.,0.0,1.0,17
582,109,78,1.0,Melissa baked over the weekend fresh vegan blueberry muffins with white frosting with egg substitute.,Melissa baked fresh vegan blueberry muffins with white frosting with egg substitute over the weekend.,0.0,1.0,18
584,109,200,1.0,John showed his expensive tailored silk outfit from the designer for the gala for the evening to the crowded tour group with maps from America.,John showed the crowded tour group with maps from America his expensive tailored silk outfit from the designer for the gala for the evening.,1.0,0.0,20
585,109,38,1.0,Melissa gave to the team a large check from the hosts.,Melissa gave a large check from the hosts to the team.,1.0,0.0,21
586,109,203,6.0,John built a big green boat for his unemployed sick younger brother with cancer.,John built his unemployed sick younger brother with cancer a big green boat.,1.0,0.0,22
587,109,267,2.0,Janet argued about the catastrophic failing project in the data with her new team.,Janet argued with her new team about the catastrophic failing project in the data.,1.0,0.0,23
589,109,112,2.0,Melissa saw at the park the man with the axe from the forest.,Melissa saw the man with the axe from the forest at the park.,0.0,1.0,25
590,109,235,7.0,John constructed an assistant app for helping disabled people for the homeless citizens in a city in the Midwest.,John constructed the homeless citizens in a city in the Midwest an assistant app for helping disabled people.,0.0,1.0,26
591,109,141,7.0,John showed his expensive tailored outfit from the designer to his tall sister in college for biology in Arkansas.,John showed his tall sister in college for biology in Arkansas his expensive tailored outfit from the designer.,0.0,1.0,27
592,109,66,2.0,Melissa met after the party the tall mysterious man with the axe from the forest.,Melissa met the tall mysterious man with the axe from the forest after the party.,0.0,1.0,28
596,65,200,6.0,John showed his expensive tailored silk outfit from the designer for the gala for the evening to the crowded tour group with maps from America.,John showed the crowded tour group with maps from America his expensive tailored silk outfit from the designer for the gala for the evening.,0.0,1.0,5
597,65,66,1.0,Melissa met after the party the tall mysterious man with the axe from the forest.,Melissa met the tall mysterious man with the axe from the forest after the party.,0.0,1.0,6
598,65,38,6.0,Melissa gave to the team a large check from the hosts.,Melissa gave a large check from the hosts to the team.,0.0,1.0,7
599,65,235,6.0,John constructed an assistant app for helping disabled people for the homeless citizens in a city in the Midwest.,John constructed the homeless citizens in a city in the Midwest an assistant app for helping disabled people.,0.0,1.0,8
601,65,112,2.0,Melissa saw at the park the man with the axe from the forest.,Melissa saw the man with the axe from the forest at the park.,1.0,0.0,10
602,65,313,1.0,Janet drove with a large rented van with space to the warm surfing beach on the coast.,Janet drove to the warm surfing beach on the coast with a large rented van with space.,1.0,0.0,11
603,65,78,4.0,Melissa baked over the weekend fresh vegan blueberry muffins with white frosting with egg substitute.,Melissa baked fresh vegan blueberry muffins with white frosting with egg substitute over the weekend.,1.0,0.0,12
604,65,441,7.0,John worked out the foolproof plan for the next season.,John worked the foolproof plan for the next season out.,1.0,0.0,13
606,65,108,2.0,Melissa baked in her kitchen a multilevel blue sponge cake with her name in green frosting.,Melissa baked a multilevel blue sponge cake with her name in green frosting in her kitchen.,0.0,1.0,15
607,65,156,6.0,John mailed a short notice message about his travel in Europe for his work to his large family from the farms in the plains in Kansas.,John mailed his large family from the farms in the plains in Kansas a short notice message about his travel in Europe for his work.,0.0,1.0,16
608,65,141,2.0,John showed his expensive tailored outfit from the designer to his tall sister in college for biology in Arkansas.,John showed his tall sister in college for biology in Arkansas his expensive tailored outfit from the designer.,0.0,1.0,17
609,65,402,5.0,John worked out the ambitious plan.,John worked the ambitious plan out.,0.0,1.0,18
611,65,203,5.0,John built a big green boat for his unemployed sick younger brother with cancer.,John built his unemployed sick younger brother with cancer a big green boat.,1.0,0.0,20
612,65,182,1.0,John cooked a grand celebratory feast of pie with chicken for his sick disabled mother in Miami with Alzheimers.,John cooked his sick disabled mother in Miami with Alzheimers a grand celebratory feast of pie with chicken.,1.0,0.0,21
613,65,267,4.0,Janet argued about the catastrophic failing project in the data with her new team.,Janet argued with her new team about the catastrophic failing project in the data.,1.0,0.0,22
614,65,290,2.0,Janet went with a cheap van with space to the annual auction event of the metropolis.,Janet went to the annual auction event of the metropolis with a cheap van with space.,1.0,0.0,23
616,65,9,1.0,Melissa made in her kitchen a wrapped present with red ribbon in a white box.,Melissa made a wrapped present with red ribbon in a white box in her kitchen.,0.0,1.0,25
617,65,2,2.0,Melissa prepared in her kitchen vegan blueberry muffins with white frosting with egg substitute.,Melissa prepared vegan blueberry muffins with white frosting with egg substitute in her kitchen.,0.0,1.0,26
618,65,92,1.0,Melissa took at the college fascinating courses on astronomy.,Melissa took fascinating courses on astronomy at the college.,0.0,1.0,27
619,65,292,1.0,Janet talked about her boss to tall skinny Michael.,Janet talked to tall skinny Michael about her boss.,0.0,1.0,28
623,90,203,7.0,John built a big green boat for his unemployed sick younger brother with cancer.,John built his unemployed sick younger brother with cancer a big green boat.,0.0,1.0,5
624,90,141,6.0,John showed his expensive tailored outfit from the designer to his tall sister in college for biology in Arkansas.,John showed his tall sister in college for biology in Arkansas his expensive tailored outfit from the designer.,0.0,1.0,6
625,90,9,2.0,Melissa made in her kitchen a wrapped present with red ribbon in a white box.,Melissa made a wrapped present with red ribbon in a white box in her kitchen.,0.0,1.0,7
626,90,402,5.0,John worked out the ambitious plan.,John worked the ambitious plan out.,0.0,1.0,8
628,90,38,2.0,Melissa gave to the team a large check from the hosts.,Melissa gave a large check from the hosts to the team.,1.0,0.0,10
629,90,292,2.0,Janet talked about her boss to tall skinny Michael.,Janet talked to tall skinny Michael about her boss.,1.0,0.0,11
630,90,92,1.0,Melissa took at the college fascinating courses on astronomy.,Melissa took fascinating courses on astronomy at the college.,1.0,0.0,12
631,90,200,2.0,John showed his expensive tailored silk outfit from the designer for the gala for the evening to the crowded tour group with maps from America.,John showed the crowded tour group with maps from America his expensive tailored silk outfit from the designer for the gala for the evening.,1.0,0.0,13
633,90,108,5.0,Melissa baked in her kitchen a multilevel blue sponge cake with her name in green frosting.,Melissa baked a multilevel blue sponge cake with her name in green frosting in her kitchen.,0.0,1.0,15
634,90,156,6.0,John mailed a short notice message about his travel in Europe for his work to his large family from the farms in the plains in Kansas.,John mailed his large family from the farms in the plains in Kansas a short notice message about his travel in Europe for his work.,0.0,1.0,16
635,90,235,6.0,John constructed an assistant app for helping disabled people for the homeless citizens in a city in the Midwest.,John constructed the homeless citizens in a city in the Midwest an assistant app for helping disabled people.,0.0,1.0,17
636,90,182,5.0,John cooked a grand celebratory feast of pie with chicken for his sick disabled mother in Miami with Alzheimers.,John cooked his sick disabled mother in Miami with Alzheimers a grand celebratory feast of pie with chicken.,0.0,1.0,18
638,90,313,5.0,Janet drove with a large rented van with space to the warm surfing beach on the coast.,Janet drove to the warm surfing beach on the coast with a large rented van with space.,1.0,0.0,20
639,90,290,2.0,Janet went with a cheap van with space to the annual auction event of the metropolis.,Janet went to the annual auction event of the metropolis with a cheap van with space.,1.0,0.0,21
640,90,2,1.0,Melissa prepared in her kitchen vegan blueberry muffins with white frosting with egg substitute.,Melissa prepared vegan blueberry muffins with white frosting with egg substitute in her kitchen.,1.0,0.0,22
641,90,441,7.0,John worked out the foolproof plan for the next season.,John worked the foolproof plan for the next season out.,1.0,0.0,23
643,90,112,2.0,Melissa saw at the park the man with the axe from the forest.,Melissa saw the man with the axe from the forest at the park.,0.0,1.0,25
644,90,78,2.0,Melissa baked over the weekend fresh vegan blueberry muffins with white frosting with egg substitute.,Melissa baked fresh vegan blueberry muffins with white frosting with egg substitute over the weekend.,0.0,1.0,26
645,90,66,2.0,Melissa met after the party the tall mysterious man with the axe from the forest.,Melissa met the tall mysterious man with the axe from the forest after the party.,0.0,1.0,27
646,90,267,5.0,Janet argued about the catastrophic failing project in the data with her new team.,Janet argued with her new team about the catastrophic failing project in the data.,0.0,1.0,28
650,40,441,7.0,John worked out the foolproof plan for the next season.,John worked the foolproof plan for the next season out.,0.0,1.0,5
651,40,108,3.0,Melissa baked in her kitchen a multilevel blue sponge cake with her name in green frosting.,Melissa baked a multilevel blue sponge cake with her name in green frosting in her kitchen.,0.0,1.0,6
652,40,78,2.0,Melissa baked over the weekend fresh vegan blueberry muffins with white frosting with egg substitute.,Melissa baked fresh vegan blueberry muffins with white frosting with egg substitute over the weekend.,0.0,1.0,7
653,40,203,7.0,John built a big green boat for his unemployed sick younger brother with cancer.,John built his unemployed sick younger brother with cancer a big green boat.,0.0,1.0,8
655,40,292,2.0,Janet talked about her boss to tall skinny Michael.,Janet talked to tall skinny Michael about her boss.,1.0,0.0,10
656,40,38,1.0,Melissa gave to the team a large check from the hosts.,Melissa gave a large check from the hosts to the team.,1.0,0.0,11
657,40,9,1.0,Melissa made in her kitchen a wrapped present with red ribbon in a white box.,Melissa made a wrapped present with red ribbon in a white box in her kitchen.,1.0,0.0,12
658,40,2,1.0,Melissa prepared in her kitchen vegan blueberry muffins with white frosting with egg substitute.,Melissa prepared vegan blueberry muffins with white frosting with egg substitute in her kitchen.,1.0,0.0,13
660,40,402,7.0,John worked out the ambitious plan.,John worked the ambitious plan out.,0.0,1.0,15
661,40,66,1.0,Melissa met after the party the tall mysterious man with the axe from the forest.,Melissa met the tall mysterious man with the axe from the forest after the party.,0.0,1.0,16
662,40,112,2.0,Melissa saw at the park the man with the axe from the forest.,Melissa saw the man with the axe from the forest at the park.,0.0,1.0,17
663,40,182,7.0,John cooked a grand celebratory feast of pie with chicken for his sick disabled mother in Miami with Alzheimers.,John cooked his sick disabled mother in Miami with Alzheimers a grand celebratory feast of pie with chicken.,0.0,1.0,18
665,40,235,2.0,John constructed an assistant app for helping disabled people for the homeless citizens in a city in the Midwest.,John constructed the homeless citizens in a city in the Midwest an assistant app for helping disabled people.,1.0,0.0,20
666,40,156,5.0,John mailed a short notice message about his travel in Europe for his work to his large family from the farms in the plains in Kansas.,John mailed his large family from the farms in the plains in Kansas a short notice message about his travel in Europe for his work.,1.0,0.0,21
