workerid,proliferate.condition,attention,comments,id,response,sentence_a,sentence_b,shift_a,shift_b,slide_number_in_experiment,error
141,Group 21,0,,attention,,,,,,9,
141,Group 21,,,62,7,Melissa prepared over the weekend a blue vanilla cake with her name.,Melissa prepared a blue vanilla cake with her name over the weekend.,1,0,10,
141,Group 21,,,7,7,Melissa presented for the competition a gold winning trophy with her name for her performance.,Melissa presented a gold winning trophy with her name for her performance for the competition.,1,0,11,
141,Group 21,,,363,7,Janet talked about the catastrophic failing project for the analysis during the academia charity conference in Nepal in economics.,Janet talked during the academia charity conference in Nepal in economics about the catastrophic failing project for the analysis.,1,0,12,
141,Group 21,,,321,7,Janet drove in her electric car with her favorite songs for her trip to the warm surfing beach by her mother's home.,Janet drove to the warm surfing beach by her mother's home in her electric car with her favorite songs for her trip.,1,0,13,
141,Group 21,0,,attention,,,,,,14,
141,Group 21,,,374,1,Janet discussed about the disorganized failing project for the analysis for the paper during the internal complaints meeting about company funding for organized projects.,Janet discussed during the internal complaints meeting about company funding for organized projects about the disorganized failing project for the analysis for the paper.,0,1,15,
141,Group 21,,,178,7,John drafted a serious long letter with bank information for the house for his large extended family from the farms in the plains in Kansas.,John drafted his large extended family from the farms in the plains in Kansas a serious long letter with bank information for the house.,0,1,16,
141,Group 21,,,181,7,John rents small cheap studio apartments with balconies on the main street to wealthy students at the campus.,John rents wealthy students at the campus small cheap studio apartments with balconies on the main street.,0,1,17,
141,Group 21,,,378,1,John called off his wedding in the churchouse in the afternoon.,John called his wedding in the churchouse in the afternoon off.,0,1,18,
141,Group 21,0,,attention,,,,,,19,
141,Group 21,,,252,1,Janet walked to our math class with her brother.,Janet walked with her brother to our math class.,1,0,20,
141,Group 21,,,432,1,John kept up the improvised joke for the play.,John kept the improvised joke for the play up.,1,0,21,
141,Group 21,,,13,7,Melissa awarded at the ceremony a check from the organization.,Melissa awarded a check from the organization at the ceremony.,1,0,22,
141,Group 21,,,129,1,John shipped beautiful flowers with trimmed stems from the nursery in town to his trusted longtime friend with the medical degree.,John shipped his trusted longtime friend with the medical degree beautiful flowers with trimmed stems from the nursery in town.,1,0,23,
141,Group 21,0,,attention,,,,,,24,
141,Group 21,,,301,7,Janet negotiatied about a generous annual raise with her economics team in the finance branch in the company.,Janet negotiatied with her economics team in the finance branch in the company about a generous annual raise.,0,1,25,
141,Group 21,,,64,1,Melissa brought when she arrived sweet alcoholic drinks from the bodega.,Melissa brought sweet alcoholic drinks from the bodega when she arrived.,0,1,26,
141,Group 21,,,8,1,Melissa awarded for the competition a shiny gold winning trophy with her name for her performance.,Melissa awarded a shiny gold winning trophy with her name for her performance for the competition.,0,1,27,
141,Group 21,,,59,1,Melissa baked for the party a blue vanilla cake in green frosting.,Melissa baked a blue vanilla cake in green frosting for the party.,0,1,28,
141,Group 21,0,,attention,,,,,,29,
109,Group 2,,,example1,2,,,,,2,
109,Group 2,,,example2,6,,,,,3,
109,Group 2,,,9,2,Melissa made in her kitchen a wrapped present with red ribbon in a white box.,Melissa made a wrapped present with red ribbon in a white box in her kitchen.,0,1,5,
109,Group 2,,,402,7,John worked out the ambitious plan.,John worked the ambitious plan out.,0,1,6,
109,Group 2,,,313,6,Janet drove with a large rented van with space to the warm surfing beach on the coast.,Janet drove to the warm surfing beach on the coast with a large rented van with space.,0,1,7,
109,Group 2,,,92,1,Melissa took at the college fascinating courses on astronomy.,Melissa took fascinating courses on astronomy at the college.,0,1,8,
109,Group 2,0,,attention,,,,,,9,
109,Group 2,,,441,1,John worked out the foolproof plan for the next season.,John worked the foolproof plan for the next season out.,1,0,10,
109,Group 2,,,182,1,John cooked a grand celebratory feast of pie with chicken for his sick disabled mother in Miami with Alzheimers.,John cooked his sick disabled mother in Miami with Alzheimers a grand celebratory feast of pie with chicken.,1,0,11,
109,Group 2,,,292,1,Janet talked about her boss to tall skinny Michael.,Janet talked to tall skinny Michael about her boss.,1,0,12,
109,Group 2,,,2,7,Melissa prepared in her kitchen vegan blueberry muffins with white frosting with egg substitute.,Melissa prepared vegan blueberry muffins with white frosting with egg substitute in her kitchen.,1,0,13,
109,Group 2,0,,attention,,,,,,14,
109,Group 2,,,156,6,John mailed a short notice message about his travel in Europe for his work to his large family from the farms in the plains in Kansas.,John mailed his large family from the farms in the plains in Kansas a short notice message about his travel in Europe for his work.,0,1,15,
109,Group 2,,,108,1,Melissa baked in her kitchen a multilevel blue sponge cake with her name in green frosting.,Melissa baked a multilevel blue sponge cake with her name in green frosting in her kitchen.,0,1,16,
109,Group 2,,,290,6,Janet went with a cheap van with space to the annual auction event of the metropolis.,Janet went to the annual auction event of the metropolis with a cheap van with space.,0,1,17,
109,Group 2,,,78,1,Melissa baked over the weekend fresh vegan blueberry muffins with white frosting with egg substitute.,Melissa baked fresh vegan blueberry muffins with white frosting with egg substitute over the weekend.,0,1,18,
109,Group 2,0,,attention,,,,,,19,
109,Group 2,,,200,7,John showed his expensive tailored silk outfit from the designer for the gala for the evening to the crowded tour group with maps from America.,John showed the crowded tour group with maps from America his expensive tailored silk outfit from the designer for the gala for the evening.,1,0,20,
109,Group 2,,,38,7,Melissa gave to the team a large check from the hosts.,Melissa gave a large check from the hosts to the team.,1,0,21,
109,Group 2,,,203,2,John built a big green boat for his unemployed sick younger brother with cancer.,John built his unemployed sick younger brother with cancer a big green boat.,1,0,22,
109,Group 2,,,267,6,Janet argued about the catastrophic failing project in the data with her new team.,Janet argued with her new team about the catastrophic failing project in the data.,1,0,23,
109,Group 2,0,,attention,,,,,,24,
109,Group 2,,,112,2,Melissa saw at the park the man with the axe from the forest.,Melissa saw the man with the axe from the forest at the park.,0,1,25,
109,Group 2,,,235,7,John constructed an assistant app for helping disabled people for the homeless citizens in a city in the Midwest.,John constructed the homeless citizens in a city in the Midwest an assistant app for helping disabled people.,0,1,26,
109,Group 2,,,141,7,John showed his expensive tailored outfit from the designer to his tall sister in college for biology in Arkansas.,John showed his tall sister in college for biology in Arkansas his expensive tailored outfit from the designer.,0,1,27,
109,Group 2,,,66,2,Melissa met after the party the tall mysterious man with the axe from the forest.,Melissa met the tall mysterious man with the axe from the forest after the party.,0,1,28,
109,Group 2,0,,attention,,,,,,29,
65,Group 2,,,example1,1,,,,,2,
65,Group 2,,,example2,5,,,,,3,
65,Group 2,,It just flowed more easily.,200,6,John showed his expensive tailored silk outfit from the designer for the gala for the evening to the crowded tour group with maps from America.,John showed the crowded tour group with maps from America his expensive tailored silk outfit from the designer for the gala for the evening.,0,1,5,
65,Group 2,,Sentence B just seems out of order.,66,1,Melissa met after the party the tall mysterious man with the axe from the forest.,Melissa met the tall mysterious man with the axe from the forest after the party.,0,1,6,
65,Group 2,,,38,6,Melissa gave to the team a large check from the hosts.,Melissa gave a large check from the hosts to the team.,0,1,7,
65,Group 2,,,235,6,John constructed an assistant app for helping disabled people for the homeless citizens in a city in the Midwest.,John constructed the homeless citizens in a city in the Midwest an assistant app for helping disabled people.,0,1,8,
65,Group 2,0,,attention,,,,,,9,
65,Group 2,,,112,6,Melissa saw at the park the man with the axe from the forest.,Melissa saw the man with the axe from the forest at the park.,1,0,10,
65,Group 2,,,313,7,Janet drove with a large rented van with space to the warm surfing beach on the coast.,Janet drove to the warm surfing beach on the coast with a large rented van with space.,1,0,11,
65,Group 2,,,78,4,Melissa baked over the weekend fresh vegan blueberry muffins with white frosting with egg substitute.,Melissa baked fresh vegan blueberry muffins with white frosting with egg substitute over the weekend.,1,0,12,
65,Group 2,,,441,1,John worked out the foolproof plan for the next season.,John worked the foolproof plan for the next season out.,1,0,13,
65,Group 2,0,,attention,,,,,,14,
65,Group 2,,,108,2,Melissa baked in her kitchen a multilevel blue sponge cake with her name in green frosting.,Melissa baked a multilevel blue sponge cake with her name in green frosting in her kitchen.,0,1,15,
65,Group 2,,,156,6,John mailed a short notice message about his travel in Europe for his work to his large family from the farms in the plains in Kansas.,John mailed his large family from the farms in the plains in Kansas a short notice message about his travel in Europe for his work.,0,1,16,
65,Group 2,,,141,2,John showed his expensive tailored outfit from the designer to his tall sister in college for biology in Arkansas.,John showed his tall sister in college for biology in Arkansas his expensive tailored outfit from the designer.,0,1,17,
65,Group 2,,,402,5,John worked out the ambitious plan.,John worked the ambitious plan out.,0,1,18,
65,Group 2,0,,attention,,,,,,19,
65,Group 2,,,203,3,John built a big green boat for his unemployed sick younger brother with cancer.,John built his unemployed sick younger brother with cancer a big green boat.,1,0,20,
65,Group 2,,,182,7,John cooked a grand celebratory feast of pie with chicken for his sick disabled mother in Miami with Alzheimers.,John cooked his sick disabled mother in Miami with Alzheimers a grand celebratory feast of pie with chicken.,1,0,21,
65,Group 2,,,267,4,Janet argued about the catastrophic failing project in the data with her new team.,Janet argued with her new team about the catastrophic failing project in the data.,1,0,22,
65,Group 2,,,290,6,Janet went with a cheap van with space to the annual auction event of the metropolis.,Janet went to the annual auction event of the metropolis with a cheap van with space.,1,0,23,
65,Group 2,0,,attention,,,,,,24,
65,Group 2,,,9,1,Melissa made in her kitchen a wrapped present with red ribbon in a white box.,Melissa made a wrapped present with red ribbon in a white box in her kitchen.,0,1,25,
65,Group 2,,,2,2,Melissa prepared in her kitchen vegan blueberry muffins with white frosting with egg substitute.,Melissa prepared vegan blueberry muffins with white frosting with egg substitute in her kitchen.,0,1,26,
65,Group 2,,,92,1,Melissa took at the college fascinating courses on astronomy.,Melissa took fascinating courses on astronomy at the college.,0,1,27,
65,Group 2,,,292,1,Janet talked about her boss to tall skinny Michael.,Janet talked to tall skinny Michael about her boss.,0,1,28,
65,Group 2,0,,attention,,,,,,29,
90,Group 2,,,example1,1,,,,,2,
90,Group 2,,,example2,6,,,,,3,
90,Group 2,,The position of the subjects in the sentence.,203,7,John built a big green boat for his unemployed sick younger brother with cancer.,John built his unemployed sick younger brother with cancer a big green boat.,0,1,5,
90,Group 2,,,141,6,John showed his expensive tailored outfit from the designer to his tall sister in college for biology in Arkansas.,John showed his tall sister in college for biology in Arkansas his expensive tailored outfit from the designer.,0,1,6,
90,Group 2,,,9,2,Melissa made in her kitchen a wrapped present with red ribbon in a white box.,Melissa made a wrapped present with red ribbon in a white box in her kitchen.,0,1,7,
90,Group 2,,,402,5,John worked out the ambitious plan.,John worked the ambitious plan out.,0,1,8,
90,Group 2,0,,attention,,,,,,9,
90,Group 2,,,38,6,Melissa gave to the team a large check from the hosts.,Melissa gave a large check from the hosts to the team.,1,0,10,
90,Group 2,,,292,6,Janet talked about her boss to tall skinny Michael.,Janet talked to tall skinny Michael about her boss.,1,0,11,
90,Group 2,,,92,7,Melissa took at the college fascinating courses on astronomy.,Melissa took fascinating courses on astronomy at the college.,1,0,12,
90,Group 2,,,200,6,John showed his expensive tailored silk outfit from the designer for the gala for the evening to the crowded tour group with maps from America.,John showed the crowded tour group with maps from America his expensive tailored silk outfit from the designer for the gala for the evening.,1,0,13,
90,Group 2,0,,attention,,,,,,14,
90,Group 2,,,108,5,Melissa baked in her kitchen a multilevel blue sponge cake with her name in green frosting.,Melissa baked a multilevel blue sponge cake with her name in green frosting in her kitchen.,0,1,15,
90,Group 2,,,156,6,John mailed a short notice message about his travel in Europe for his work to his large family from the farms in the plains in Kansas.,John mailed his large family from the farms in the plains in Kansas a short notice message about his travel in Europe for his work.,0,1,16,
90,Group 2,,,235,6,John constructed an assistant app for helping disabled people for the homeless citizens in a city in the Midwest.,John constructed the homeless citizens in a city in the Midwest an assistant app for helping disabled people.,0,1,17,
90,Group 2,,,182,5,John cooked a grand celebratory feast of pie with chicken for his sick disabled mother in Miami with Alzheimers.,John cooked his sick disabled mother in Miami with Alzheimers a grand celebratory feast of pie with chicken.,0,1,18,
90,Group 2,0,,attention,,,,,,19,
90,Group 2,,,313,3,Janet drove with a large rented van with space to the warm surfing beach on the coast.,Janet drove to the warm surfing beach on the coast with a large rented van with space.,1,0,20,
90,Group 2,,,290,6,Janet went with a cheap van with space to the annual auction event of the metropolis.,Janet went to the annual auction event of the metropolis with a cheap van with space.,1,0,21,
90,Group 2,,,2,7,Melissa prepared in her kitchen vegan blueberry muffins with white frosting with egg substitute.,Melissa prepared vegan blueberry muffins with white frosting with egg substitute in her kitchen.,1,0,22,
90,Group 2,,,441,1,John worked out the foolproof plan for the next season.,John worked the foolproof plan for the next season out.,1,0,23,
90,Group 2,0,,attention,,,,,,24,
90,Group 2,,,112,2,Melissa saw at the park the man with the axe from the forest.,Melissa saw the man with the axe from the forest at the park.,0,1,25,
90,Group 2,,,78,2,Melissa baked over the weekend fresh vegan blueberry muffins with white frosting with egg substitute.,Melissa baked fresh vegan blueberry muffins with white frosting with egg substitute over the weekend.,0,1,26,
90,Group 2,,,66,2,Melissa met after the party the tall mysterious man with the axe from the forest.,Melissa met the tall mysterious man with the axe from the forest after the party.,0,1,27,
90,Group 2,,,267,5,Janet argued about the catastrophic failing project in the data with her new team.,Janet argued with her new team about the catastrophic failing project in the data.,0,1,28,
90,Group 2,0,,attention,,,,,,29,
40,Group 2,,,example1,3,,,,,2,
40,Group 2,,,example2,7,,,,,3,
40,Group 2,,,441,7,John worked out the foolproof plan for the next season.,John worked the foolproof plan for the next season out.,0,1,5,
40,Group 2,,,108,3,Melissa baked in her kitchen a multilevel blue sponge cake with her name in green frosting.,Melissa baked a multilevel blue sponge cake with her name in green frosting in her kitchen.,0,1,6,
40,Group 2,,,78,2,Melissa baked over the weekend fresh vegan blueberry muffins with white frosting with egg substitute.,Melissa baked fresh vegan blueberry muffins with white frosting with egg substitute over the weekend.,0,1,7,
40,Group 2,,,203,7,John built a big green boat for his unemployed sick younger brother with cancer.,John built his unemployed sick younger brother with cancer a big green boat.,0,1,8,
40,Group 2,0,,attention,,,,,,9,
40,Group 2,,,292,6,Janet talked about her boss to tall skinny Michael.,Janet talked to tall skinny Michael about her boss.,1,0,10,
40,Group 2,,,38,7,Melissa gave to the team a large check from the hosts.,Melissa gave a large check from the hosts to the team.,1,0,11,
40,Group 2,,,9,7,Melissa made in her kitchen a wrapped present with red ribbon in a white box.,Melissa made a wrapped present with red ribbon in a white box in her kitchen.,1,0,12,
40,Group 2,,,2,7,Melissa prepared in her kitchen vegan blueberry muffins with white frosting with egg substitute.,Melissa prepared vegan blueberry muffins with white frosting with egg substitute in her kitchen.,1,0,13,
40,Group 2,0,,attention,,,,,,14,
40,Group 2,,,402,7,John worked out the ambitious plan.,John worked the ambitious plan out.,0,1,15,
40,Group 2,,,66,1,Melissa met after the party the tall mysterious man with the axe from the forest.,Melissa met the tall mysterious man with the axe from the forest after the party.,0,1,16,
40,Group 2,,,112,2,Melissa saw at the park the man with the axe from the forest.,Melissa saw the man with the axe from the forest at the park.,0,1,17,
40,Group 2,,,182,7,John cooked a grand celebratory feast of pie with chicken for his sick disabled mother in Miami with Alzheimers.,John cooked his sick disabled mother in Miami with Alzheimers a grand celebratory feast of pie with chicken.,0,1,18,
40,Group 2,0,,attention,,,,,,19,
40,Group 2,,,235,6,John constructed an assistant app for helping disabled people for the homeless citizens in a city in the Midwest.,John constructed the homeless citizens in a city in the Midwest an assistant app for helping disabled people.,1,0,20,
40,Group 2,,,156,3,John mailed a short notice message about his travel in Europe for his work to his large family from the farms in the plains in Kansas.,John mailed his large family from the farms in the plains in Kansas a short notice message about his travel in Europe for his work.,1,0,21,
40,Group 2,,,200,6,John showed his expensive tailored silk outfit from the designer for the gala for the evening to the crowded tour group with maps from America.,John showed the crowded tour group with maps from America his expensive tailored silk outfit from the designer for the gala for the evening.,1,0,22,
40,Group 2,,,290,3,Janet went with a cheap van with space to the annual auction event of the metropolis.,Janet went to the annual auction event of the metropolis with a cheap van with space.,1,0,23,
40,Group 2,0,,attention,,,,,,24,
40,Group 2,,,141,5,John showed his expensive tailored outfit from the designer to his tall sister in college for biology in Arkansas.,John showed his tall sister in college for biology in Arkansas his expensive tailored outfit from the designer.,0,1,25,
40,Group 2,,,92,1,Melissa took at the college fascinating courses on astronomy.,Melissa took fascinating courses on astronomy at the college.,0,1,26,
40,Group 2,,,267,2,Janet argued about the catastrophic failing project in the data with her new team.,Janet argued with her new team about the catastrophic failing project in the data.,0,1,27,
40,Group 2,,,313,2,Janet drove with a large rented van with space to the warm surfing beach on the coast.,Janet drove to the warm surfing beach on the coast with a large rented van with space.,0,1,28,
40,Group 2,0,,attention,,,,,,29,
140,Group 2,,,example1,1,,,,,2,
140,Group 2,,,example2,5,,,,,3,
140,Group 2,,,203,7,John built a big green boat for his unemployed sick younger brother with cancer.,John built his unemployed sick younger brother with cancer a big green boat.,0,1,5,
140,Group 2,,,182,6,John cooked a grand celebratory feast of pie with chicken for his sick disabled mother in Miami with Alzheimers.,John cooked his sick disabled mother in Miami with Alzheimers a grand celebratory feast of pie with chicken.,0,1,6,
140,Group 2,,,267,3,Janet argued about the catastrophic failing project in the data with her new team.,Janet argued with her new team about the catastrophic failing project in the data.,0,1,7,
140,Group 2,,,78,5,Melissa baked over the weekend fresh vegan blueberry muffins with white frosting with egg substitute.,Melissa baked fresh vegan blueberry muffins with white frosting with egg substitute over the weekend.,0,1,8,
140,Group 2,0,,attention,,,,,,9,
140,Group 2,,,66,6,Melissa met after the party the tall mysterious man with the axe from the forest.,Melissa met the tall mysterious man with the axe from the forest after the party.,1,0,10,
140,Group 2,,,235,7,John constructed an assistant app for helping disabled people for the homeless citizens in a city in the Midwest.,John constructed the homeless citizens in a city in the Midwest an assistant app for helping disabled people.,1,0,11,
140,Group 2,,,313,7,Janet drove with a large rented van with space to the warm surfing beach on the coast.,Janet drove to the warm surfing beach on the coast with a large rented van with space.,1,0,12,
140,Group 2,,,156,7,John mailed a short notice message about his travel in Europe for his work to his large family from the farms in the plains in Kansas.,John mailed his large family from the farms in the plains in Kansas a short notice message about his travel in Europe for his work.,1,0,13,
140,Group 2,0,,attention,,,,,,14,
140,Group 2,,,290,4,Janet went with a cheap van with space to the annual auction event of the metropolis.,Janet went to the annual auction event of the metropolis with a cheap van with space.,0,1,15,
140,Group 2,,,402,6,John worked out the ambitious plan.,John worked the ambitious plan out.,0,1,16,
140,Group 2,,,200,7,John showed his expensive tailored silk outfit from the designer for the gala for the evening to the crowded tour group with maps from America.,John showed the crowded tour group with maps from America his expensive tailored silk outfit from the designer for the gala for the evening.,0,1,17,
140,Group 2,,,9,7,Melissa made in her kitchen a wrapped present with red ribbon in a white box.,Melissa made a wrapped present with red ribbon in a white box in her kitchen.,0,1,18,
140,Group 2,0,,attention,,,,,,19,
140,Group 2,,,108,1,Melissa baked in her kitchen a multilevel blue sponge cake with her name in green frosting.,Melissa baked a multilevel blue sponge cake with her name in green frosting in her kitchen.,1,0,20,
140,Group 2,,,92,7,Melissa took at the college fascinating courses on astronomy.,Melissa took fascinating courses on astronomy at the college.,1,0,21,
140,Group 2,,,141,4,John showed his expensive tailored outfit from the designer to his tall sister in college for biology in Arkansas.,John showed his tall sister in college for biology in Arkansas his expensive tailored outfit from the designer.,1,0,22,
140,Group 2,,,112,5,Melissa saw at the park the man with the axe from the forest.,Melissa saw the man with the axe from the forest at the park.,1,0,23,
140,Group 2,0,,attention,,,,,,24,
140,Group 2,,,292,7,Janet talked about her boss to tall skinny Michael.,Janet talked to tall skinny Michael about her boss.,0,1,25,
140,Group 2,,,441,7,John worked out the foolproof plan for the next season.,John worked the foolproof plan for the next season out.,0,1,26,
140,Group 2,,,2,2,Melissa prepared in her kitchen vegan blueberry muffins with white frosting with egg substitute.,Melissa prepared vegan blueberry muffins with white frosting with egg substitute in her kitchen.,0,1,27,
140,Group 2,,,38,2,Melissa gave to the team a large check from the hosts.,Melissa gave a large check from the hosts to the team.,0,1,28,
140,Group 2,0,,attention,,,,,,29,
105,Group 18,,,example1,1,,,,,2,
105,Group 18,,,example2,7,,,,,3,
105,Group 18,,Flows more easily when reading it out.,370,7,Janet ate inside the American restaurant on main street with the attractive man from her gym.,Janet ate with the attractive man from her gym inside the American restaurant on main street.,0,1,5,
105,Group 18,,,377,7,John kept up the joke about his role for the play.,John kept the joke about his role for the play up.,0,1,6,
105,Group 18,,,303,1,Janet drove with a cheap van with space to the warm surfing beach in the countryside by her mother's home.,Janet drove to the warm surfing beach in the countryside by her mother's home with a cheap van with space.,0,1,7,
105,Group 18,,,229,4,John wrote a long letter with bank information for the financial account for the house to his family.,John wrote his family a long letter with bank information for the financial account for the house.,0,1,8,
105,Group 18,0,,attention,,,,,,9,
105,Group 18,,,217,7,John showed the Baroque church building from Italy to his longtime friend with an art history degree.,John showed his longtime friend with an art history degree the Baroque church building from Italy.,1,0,10,
105,Group 18,,,68,7,Melissa presented for the competition a shiny winning trophy with her name.,Melissa presented a shiny winning trophy with her name for the competition.,1,0,11,
105,Group 18,,,118,7,Melissa made for the party a blue vanilla cake with her name in green frosting.,Melissa made a blue vanilla cake with her name in green frosting for the party.,1,0,12,
105,Group 18,,,261,7,Janet went in a big loaded truck from the military to advanced graduate class.,Janet went to advanced graduate class in a big loaded truck from the military.,1,0,13,
105,Group 18,0,,attention,,,,,,14,
105,Group 18,,,14,4,Melissa gave to the team a shiny gold trophy with her name for her performance.,Melissa gave a shiny gold trophy with her name for her performance to the team.,0,1,15,
105,Group 18,,,163,3,John made a grand hearty celebratory feast of pie from the farm for the homeless man on the street.,John made the homeless man on the street a grand hearty celebratory feast of pie from the farm.,0,1,16,
105,Group 18,,,386,7,John worked out the revised schedule for his employees in the team.,John worked the revised schedule for his employees in the team out.,0,1,17,
105,Group 18,,,4,4,Melissa prepared in her kitchen a wrapped birthday present with red ribbon in a white box.,Melissa prepared a wrapped birthday present with red ribbon in a white box in her kitchen.,0,1,18,
105,Group 18,0,,attention,,,,,,19,
105,Group 18,,,58,7,Melissa took at the college courses for her graduate program on astronomy under the famous professor.,Melissa took courses for her graduate program on astronomy under the famous professor at the college.,1,0,20,
105,Group 18,,,211,2,John built an automated app for the injured homeless citizens in a city.,John built the injured homeless citizens in a city an automated app.,1,0,21,
105,Group 18,,,60,6,Melissa saw after the party the tall man with the axe from the forest.,Melissa saw the tall man with the axe from the forest after the party.,1,0,22,
105,Group 18,,,20,7,Melissa enjoyed at her university fascinating courses on astronomy under the famous professor.,Melissa enjoyed fascinating courses on astronomy under the famous professor at her university.,1,0,23,
105,Group 18,0,,attention,,,,,,24,
105,Group 18,,,190,4,John sells small cheap studio apartments on the main street in downtown to college students at the campus in the city.,John sells college students at the campus in the city small cheap studio apartments on the main street in downtown.,0,1,25,
105,Group 18,,,192,4,John played a new danceable song from his favorite record label for his visiting exchange roommate from Korea with his professor.,John played his visiting exchange roommate from Korea with his professor a new danceable song from his favorite record label.,0,1,26,
105,Group 18,,,146,7,John rents modern vacation houses from a famous architect to immigrants with college degrees.,John rents immigrants with college degrees modern vacation houses from a famous architect.,0,1,27,
105,Group 18,,,478,4,John takes apart their oppositional argument for the next election.,John takes their oppositional argument for the next election apart.,0,1,28,
105,Group 18,0,,attention,,,,,,29,
37,Group 18,,,example1,1,,,,,2,
37,Group 18,,,example2,6,,,,,3,
37,Group 18,,,211,5,John built an automated app for the injured homeless citizens in a city.,John built the injured homeless citizens in a city an automated app.,0,1,5,
37,Group 18,,,386,7,John worked out the revised schedule for his employees in the team.,John worked the revised schedule for his employees in the team out.,0,1,6,
37,Group 18,,,370,2,Janet ate inside the American restaurant on main street with the attractive man from her gym.,Janet ate with the attractive man from her gym inside the American restaurant on main street.,0,1,7,
37,Group 18,,,217,2,John showed the Baroque church building from Italy to his longtime friend with an art history degree.,John showed his longtime friend with an art history degree the Baroque church building from Italy.,0,1,8,
37,Group 18,0,,attention,,,,,,9,
37,Group 18,,,377,2,John kept up the joke about his role for the play.,John kept the joke about his role for the play up.,1,0,10,
37,Group 18,,,4,6,Melissa prepared in her kitchen a wrapped birthday present with red ribbon in a white box.,Melissa prepared a wrapped birthday present with red ribbon in a white box in her kitchen.,1,0,11,
37,Group 18,,,60,2,Melissa saw after the party the tall man with the axe from the forest.,Melissa saw the tall man with the axe from the forest after the party.,1,0,12,
37,Group 18,,,261,6,Janet went in a big loaded truck from the military to advanced graduate class.,Janet went to advanced graduate class in a big loaded truck from the military.,1,0,13,
37,Group 18,0,,attention,,,,,,14,
37,Group 18,,,118,1,Melissa made for the party a blue vanilla cake with her name in green frosting.,Melissa made a blue vanilla cake with her name in green frosting for the party.,0,1,15,
37,Group 18,,,146,6,John rents modern vacation houses from a famous architect to immigrants with college degrees.,John rents immigrants with college degrees modern vacation houses from a famous architect.,0,1,16,
37,Group 18,,,192,1,John played a new danceable song from his favorite record label for his visiting exchange roommate from Korea with his professor.,John played his visiting exchange roommate from Korea with his professor a new danceable song from his favorite record label.,0,1,17,
37,Group 18,,,229,4,John wrote a long letter with bank information for the financial account for the house to his family.,John wrote his family a long letter with bank information for the financial account for the house.,0,1,18,
37,Group 18,0,,attention,,,,,,19,
37,Group 18,,,163,1,John made a grand hearty celebratory feast of pie from the farm for the homeless man on the street.,John made the homeless man on the street a grand hearty celebratory feast of pie from the farm.,1,0,20,
37,Group 18,,,68,7,Melissa presented for the competition a shiny winning trophy with her name.,Melissa presented a shiny winning trophy with her name for the competition.,1,0,21,
37,Group 18,,,58,6,Melissa took at the college courses for her graduate program on astronomy under the famous professor.,Melissa took courses for her graduate program on astronomy under the famous professor at the college.,1,0,22,
37,Group 18,,,478,7,John takes apart their oppositional argument for the next election.,John takes their oppositional argument for the next election apart.,1,0,23,
37,Group 18,0,,attention,,,,,,24,
37,Group 18,,,190,6,John sells small cheap studio apartments on the main street in downtown to college students at the campus in the city.,John sells college students at the campus in the city small cheap studio apartments on the main street in downtown.,0,1,25,
37,Group 18,,,14,6,Melissa gave to the team a shiny gold trophy with her name for her performance.,Melissa gave a shiny gold trophy with her name for her performance to the team.,0,1,26,
37,Group 18,,,303,4,Janet drove with a cheap van with space to the warm surfing beach in the countryside by her mother's home.,Janet drove to the warm surfing beach in the countryside by her mother's home with a cheap van with space.,0,1,27,
37,Group 18,,,20,1,Melissa enjoyed at her university fascinating courses on astronomy under the famous professor.,Melissa enjoyed fascinating courses on astronomy under the famous professor at her university.,0,1,28,
37,Group 18,0,,attention,,,,,,29,
64,Group 18,,,example1,3,,,,,2,
64,Group 18,,,example2,6,,,,,3,
64,Group 18,,,386,7,John worked out the revised schedule for his employees in the team.,John worked the revised schedule for his employees in the team out.,0,1,5,
64,Group 18,,,190,7,John sells small cheap studio apartments on the main street in downtown to college students at the campus in the city.,John sells college students at the campus in the city small cheap studio apartments on the main street in downtown.,0,1,6,
64,Group 18,,,20,2,Melissa enjoyed at her university fascinating courses on astronomy under the famous professor.,Melissa enjoyed fascinating courses on astronomy under the famous professor at her university.,0,1,7,
64,Group 18,,,217,7,John showed the Baroque church building from Italy to his longtime friend with an art history degree.,John showed his longtime friend with an art history degree the Baroque church building from Italy.,0,1,8,
64,Group 18,0,,attention,,,,,,9,
64,Group 18,,,303,7,Janet drove with a cheap van with space to the warm surfing beach in the countryside by her mother's home.,Janet drove to the warm surfing beach in the countryside by her mother's home with a cheap van with space.,1,0,10,
64,Group 18,,,377,2,John kept up the joke about his role for the play.,John kept the joke about his role for the play up.,1,0,11,
64,Group 18,,,211,1,John built an automated app for the injured homeless citizens in a city.,John built the injured homeless citizens in a city an automated app.,1,0,12,
64,Group 18,,,261,7,Janet went in a big loaded truck from the military to advanced graduate class.,Janet went to advanced graduate class in a big loaded truck from the military.,1,0,13,
64,Group 18,0,,attention,,,,,,14,
64,Group 18,,,60,2,Melissa saw after the party the tall man with the axe from the forest.,Melissa saw the tall man with the axe from the forest after the party.,0,1,15,
64,Group 18,,,370,6,Janet ate inside the American restaurant on main street with the attractive man from her gym.,Janet ate with the attractive man from her gym inside the American restaurant on main street.,0,1,16,
